,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg__estimator__C,param_reg__estimator__epsilon,param_reg__estimator__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.6886125564575195,0.03474362454267563,0.6349038124084473,0.10987579880192672,5,0.01,0.01,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.01, 'reg__estimator__gamma': 0.01}",-1.6471193118287948,-1.702185197288764,-1.797580275263452,-1.7196560272574286,-1.7734869074385036,-1.7280055438153887,0.053269475198435806,71
1,0.938097620010376,0.028084671964603437,0.40931410789489747,0.014811599590868214,5,0.01,0.1,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.01, 'reg__estimator__gamma': 0.1}",-1.40735911919765,-1.5274052712149249,-1.478241299698756,-1.4227993378112693,-1.4658996720922512,-1.4603409400029703,0.04258025864541607,4
2,1.3885231971740724,0.04482451220852902,0.4380540370941162,0.041906987558097325,5,0.01,0.5,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.01, 'reg__estimator__gamma': 0.5}",-1.5861981675948074,-1.7677770677207647,-1.7567087094100564,-1.657786387474676,-1.6024152651239623,-1.6741771194648531,0.07580386462201169,40
3,0.6962202072143555,0.055333388910366633,0.3724256992340088,0.011994434126564838,5,0.1,0.01,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.1, 'reg__estimator__gamma': 0.01}",-1.645119887304717,-1.7003348521205173,-1.7958883026437535,-1.7187152257258902,-1.7706004203311545,-1.7261317376252063,0.05315420199313164,70
4,0.7616752624511719,0.023684473454635455,0.3603660106658936,0.01875882452522542,5,0.1,0.1,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.1, 'reg__estimator__gamma': 0.1}",-1.404702340758134,-1.5271479089495226,-1.4842481954412268,-1.4151257851745846,-1.4677046441020434,-1.4597857748851022,0.045227148950638583,3
5,1.124440574645996,0.03443425868607303,0.4005469799041748,0.07951552231198353,5,0.1,0.5,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.1, 'reg__estimator__gamma': 0.5}",-1.5801749375983205,-1.7610102387370552,-1.7498305229223599,-1.6554038893501755,-1.5931325367452958,-1.6679104250706414,0.07592646378817734,37
6,0.6980940341949463,0.0963642266814615,0.33615670204162595,0.028668272627262216,5,0.2,0.01,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.2, 'reg__estimator__gamma': 0.01}",-1.641673965034664,-1.6979187361808294,-1.799062535532256,-1.7163155362055766,-1.7681687867353468,-1.7246279119377346,0.054954806767966574,69
7,0.7052206516265869,0.014961536789137671,0.3689467430114746,0.035396086793505734,5,0.2,0.1,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.2, 'reg__estimator__gamma': 0.1}",-1.4028378932135193,-1.5265706679061344,-1.4852221290093988,-1.4141109590562682,-1.4663148122704472,-1.4590112922911536,0.04577359345208422,2
8,1.113730001449585,0.05003460379062044,0.4240286350250244,0.08509687116611205,5,0.2,0.5,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.2, 'reg__estimator__gamma': 0.5}",-1.5781040290470938,-1.7538743995383619,-1.7473541175428593,-1.660615731304406,-1.5915124278473871,-1.6662921410560216,0.07435464513768208,34
9,0.5118038177490234,0.0692354677141333,0.2612601280212402,0.020059715143445223,5,0.5,0.01,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.5, 'reg__estimator__gamma': 0.01}",-1.6550651716789768,-1.6952995678348886,-1.8085639077573932,-1.7234164223180217,-1.77119898912955,-1.7307088117437661,0.05427674312264844,73
10,0.517933988571167,0.03908383978137865,0.31082930564880373,0.09316900121373631,5,0.5,0.1,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.5, 'reg__estimator__gamma': 0.1}",-1.410689407918741,-1.533922859274228,-1.4841361601020464,-1.426993559228894,-1.469388266654958,-1.4650260506357735,0.04365761467910856,11
11,0.8471899032592773,0.09696690808582871,0.26184906959533694,0.013955828658703453,5,0.5,0.5,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.5, 'reg__estimator__gamma': 0.5}",-1.5885702884029327,-1.7562648710658895,-1.7741127598310302,-1.7001602468993988,-1.6148141060991852,-1.6867844544596875,0.07410590596106086,47
12,0.39273896217346194,0.10102800588436701,0.3459913730621338,0.1250897698247246,5,0.9,0.01,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.9, 'reg__estimator__gamma': 0.01}",-1.6973941242166013,-1.7110329883903959,-1.8294404426699709,-1.7496804448527603,-1.783660095724125,-1.7542416191707708,0.04824880845372758,79
13,0.41698760986328126,0.03559315496518754,0.16703076362609864,0.03564602848238349,5,0.9,0.1,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.9, 'reg__estimator__gamma': 0.1}",-1.4302961092378648,-1.5382794762343857,-1.525943640169864,-1.46730197405047,-1.4989405954650223,-1.4921523590315213,0.039393854973932434,21
14,0.4764296054840088,0.025507427734308284,0.22924437522888183,0.07094816074040033,5,0.9,0.5,"{'reg__estimator__C': 5, 'reg__estimator__epsilon': 0.9, 'reg__estimator__gamma': 0.5}",-1.6598946731385824,-1.7903058209275735,-1.8490472182171929,-1.766259683045564,-1.6907696425079102,-1.7512554075673645,0.06829145314985577,78
